symbol,ibkr_session_start,ibkr_session_end,yml_session_start,yml_session_end
QQQ,2000-01-05 09:30:00-05:00,2000-01-05 16:15:00-05:00,2000-01-05 09:30:00-05:00,2000-01-05 16:00:00-05:00
QQQ,2000-01-06 09:30:00-05:00,2000-01-06 16:15:00-05:00,2000-01-06 09:30:00-05:00,2000-01-06 16:00:00-05:00
QQQ,2000-01-07 09:30:00-05:00,2000-01-07 16:15:00-05:00,2000-01-07 09:30:00-05:00,2000-01-07 16:00:00-05:00
QQQ,2000-01-10 09:30:00-05:00,2000-01-10 16:15:00-05:00,2000-01-10 09:30:00-05:00,2000-01-10 16:00:00-05:00
QQQ,2000-01-11 09:30:00-05:00,2000-01-11 16:15:00-05:00,2000-01-11 09:30:00-05:00,2000-01-11 16:00:00-05:00
QQQ,2000-01-12 09:30:00-05:00,2000-01-12 16:15:00-05:00,2000-01-12 09:30:00-05:00,2000-01-12 16:00:00-05:00
QQQ,2000-01-13 09:30:00-05:00,2000-01-13 16:15:00-05:00,2000-01-13 09:30:00-05:00,2000-01-13 16:00:00-05:00
QQQ,2000-01-14 09:30:00-05:00,2000-01-14 16:15:00-05:00,2000-01-14 09:30:00-05:00,2000-01-14 13:00:00-05:00
QQQ,2000-01-17 09:30:00-05:00,2000-01-17 16:15:00-05:00,2000-01-17 09:30:00-05:00,2000-01-17 16:00:00-05:00
QQQ,2000-01-18 09:30:00-05:00,2000-01-18 16:15:00-05:00,2000-01-18 09:30:00-05:00,2000-01-18 16:00:00-05:00
QQQ,2000-01-19 09:30:00-05:00,2000-01-19 16:15:00-05:00,2000-01-19 09:30:00-05:00,2000-01-19 16:00:00-05:00
QQQ,2000-01-20 09:30:00-05:00,2000-01-20 16:15:00-05:00,2000-01-20 09:30:00-05:00,2000-01-20 16:00:00-05:00
QQQ,2000-01-21 09:30:00-05:00,2000-01-21 16:15:00-05:00,2000-01-21 09:30:00-05:00,2000-01-21 16:00:00-05:00
QQQ,2000-01-24 09:30:00-05:00,2000-01-24 16:15:00-05:00,2000-01-24 09:30:00-05:00,2000-01-24 16:00:00-05:00
QQQ,2000-01-25 09:30:00-05:00,2000-01-25 16:15:00-05:00,2000-01-25 09:30:00-05:00,2000-01-25 16:00:00-05:00
QQQ,2000-01-26 09:30:00-05:00,2000-01-26 16:15:00-05:00,2000-01-26 09:30:00-05:00,2000-01-26 16:00:00-05:00
QQQ,2000-01-27 09:30:00-05:00,2000-01-27 16:15:00-05:00,2000-01-27 09:30:00-05:00,2000-01-27 16:00:00-05:00
QQQ,2000-01-28 09:30:00-05:00,2000-01-28 16:15:00-05:00,2000-01-28 09:30:00-05:00,2000-01-28 16:00:00-05:00
QQQ,2000-01-31 09:30:00-05:00,2000-01-31 16:15:00-05:00,2000-01-31 09:30:00-05:00,2000-01-31 16:00:00-05:00
QQQ,2000-02-01 09:30:00-05:00,2000-02-01 16:15:00-05:00,2000-02-01 09:30:00-05:00,2000-02-01 16:00:00-05:00
