Symbol,Refdate,Starttime,Endtime
KO,20000105,20000105-09:30:00,20000105-16:00:00
KO,20000106,20000106-09:30:00,20000106-16:00:00
KO,20000107,20000107-09:30:00,20000107-16:00:00
KO,20000110,20000110-09:30:00,20000110-16:00:00
KO,20000111,20000111-09:30:00,20000111-16:00:00
KO,20000112,20000112-09:30:00,20000112-16:00:00
KO,20000113,20000113-09:30:00,20000113-16:00:00
KO,20000114,20000114-09:30:00,20000114-16:00:00
KO,20000117,20000117-09:30:00,20000117-16:00:00
KO,20000118,20000118-09:30:00,20000118-16:00:00
KO,20000119,20000119-09:30:00,20000119-16:00:00
KO,20000120,20000120-09:30:00,20000120-16:00:00
KO,20000121,20000121-09:30:00,20000121-16:00:00
KO,20000124,20000124-09:30:00,20000124-16:00:00
KO,20000125,20000125-09:30:00,20000125-16:00:00
KO,20000126,20000126-09:30:00,20000126-16:00:00
KO,20000127,20000127-09:30:00,20000127-16:00:00
KO,20000128,20000128-09:30:00,20000128-16:00:00
KO,20000131,20000131-09:30:00,20000131-16:00:00
KO,20000201,20000201-09:30:00,20000201-16:00:00
KO,20000202,20000202-09:30:00,20000202-16:00:00
KO,20000203,20000203-09:30:00,20000203-16:00:00
KO,20000204,20000204-09:30:00,20000204-16:00:00
KO,20000207,20000207-09:30:00,20000207-16:00:00
KO,20000208,20000208-09:30:00,20000208-16:00:00
KO,20000209,20000209-09:30:00,20000209-16:00:00
KO,20000210,20000210-09:30:00,20000210-16:00:00
KO,20000211,20000211-09:30:00,20000211-16:00:00
KO,20000214,20000214-09:30:00,20000214-16:00:00
KO,20000215,20000215-09:30:00,20000215-16:00:00
KO,20000216,20000216-09:30:00,20000216-16:00:00
KO,20000217,20000217-09:30:00,20000217-16:00:00
KO,20000218,20000218-09:30:00,20000218-16:00:00
KO,20000221,20000221-09:30:00,20000221-16:00:00
KO,20000222,20000222-09:30:00,20000222-16:00:00
KO,20000223,20000223-09:30:00,20000223-16:00:00
KO,20000224,20000224-09:30:00,20000224-16:00:00
KO,20000225,20000225-09:30:00,20000225-16:00:00
KO,20000228,20000228-09:30:00,20000228-16:00:00
KO,20000229,20000229-09:30:00,20000229-16:00:00
KO,20000301,20000301-09:30:00,20000301-16:00:00
KO,20000302,20000302-09:30:00,20000302-16:00:00
KO,20000303,20000303-09:30:00,20000303-16:00:00
KO,20000306,20000306-09:30:00,20000306-16:00:00
KO,20000307,20000307-09:30:00,20000307-16:00:00
KO,20000308,20000308-09:30:00,20000308-16:00:00
